                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  5.085,                 9.1866,                 5.4474,                0.00691,                0.32409,                 0.0349,                0.01262,                  4.308,                 7.9157,                 5.0461,             0.00046641,             0.00046641,             0.00046641
                      2,                 3.9213,                 6.5118,                 4.0103,                0.73783,                0.16577,                0.21139,                0.09844,                 3.6089,                 5.8715,                 3.9821,             0.00092391,             0.00092391,             0.00092391
                      3,                  3.568,                 5.4188,                 3.6291,                0.68594,                0.33205,                0.33985,                0.14232,                 3.6685,                  4.554,                 3.8654,              0.0013624,              0.0013624,              0.0013624
                      4,                 3.3855,                 4.8569,                 3.4326,                0.72542,                0.34959,                0.41373,                 0.1949,                  3.492,                 3.4809,                 3.6449,              0.0013433,              0.0013433,              0.0013433
                      5,                 3.3931,                 4.3754,                 3.3879,                0.70961,                0.40751,                0.42139,                0.19712,                  3.484,                 2.9553,                 3.5628,              0.0013148,              0.0013148,              0.0013148
                      6,                 3.2551,                 3.9156,                  3.218,                0.73124,                0.38739,                0.50606,                0.23773,                 3.5158,                 3.0126,                 3.5328,              0.0012862,              0.0012862,              0.0012862
                      7,                 3.2585,                 3.6566,                 3.1873,                0.78566,                 0.4139,                0.50699,                0.25039,                 3.3995,                 2.6058,                 3.4283,              0.0012577,              0.0012577,              0.0012577
                      8,                 3.1471,                 3.4023,                  3.157,                0.76463,                0.44068,                0.54645,                0.25993,                 3.4928,                 2.5272,                 3.4819,              0.0012291,              0.0012291,              0.0012291
                      9,                 3.1292,                 3.1499,                 3.0923,                0.57212,                0.63119,                0.64826,                  0.324,                 3.3579,                 2.3859,                 3.3283,              0.0012006,              0.0012006,              0.0012006
                     10,                  3.092,                 3.0126,                 3.0703,                0.55806,                0.68075,                0.67678,                0.33958,                 3.3682,                 2.2535,                 3.3306,               0.001172,               0.001172,               0.001172
                     11,                 3.1088,                 2.8949,                 3.0592,                0.73947,                0.54653,                0.67901,                0.32681,                 3.3672,                 2.2393,                 3.3292,              0.0011435,              0.0011435,              0.0011435
                     12,                 3.0341,                  2.845,                 3.0594,                0.74513,                0.65567,                0.73368,                0.36467,                 3.3154,                 2.1261,                 3.2861,              0.0011149,              0.0011149,              0.0011149
                     13,                 3.0638,                 2.6373,                 2.9923,                0.72908,                0.67921,                0.74373,                 0.3601,                 3.3742,                 2.1033,                 3.2965,              0.0010864,              0.0010864,              0.0010864
                     14,                 3.0339,                 2.5957,                 3.0085,                0.76536,                0.67234,                0.76505,                0.36772,                 3.4127,                 2.0499,                 3.3682,              0.0010578,              0.0010578,              0.0010578
                     15,                 3.0145,                 2.5499,                 2.9802,                0.69468,                0.64555,                0.71748,                0.36016,                  3.395,                 2.1234,                 3.3081,              0.0010293,              0.0010293,              0.0010293
                     16,                 2.9537,                  2.405,                 2.9453,                0.72771,                0.72995,                0.77052,                0.37746,                  3.332,                 1.9998,                 3.2761,              0.0010007,              0.0010007,              0.0010007
                     17,                    2.9,                 2.3363,                 2.8941,                0.72271,                0.70528,                0.78551,                0.37431,                 3.3438,                  1.947,                 3.2657,             0.00097218,             0.00097218,             0.00097218
                     18,                 2.9857,                 2.3722,                 2.9452,                0.76835,                0.66739,                0.77168,                0.39508,                 3.2883,                 1.8903,                 3.1792,             0.00094363,             0.00094363,             0.00094363
                     19,                  2.951,                 2.3084,                 2.9452,                0.74222,                0.73057,                0.79332,                0.39504,                 3.2804,                 1.8313,                 3.2083,             0.00091507,             0.00091507,             0.00091507
